Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2004-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.38,0.47,1.00,0.00
2004-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.93,0.42,1.00,0.00
2004-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.51,0.39,1.00,0.00
2004-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.24,0.29,1.00,0.00
2004-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.03,0.20,1.00,0.00
2004-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.50,0.13,1.00,0.00
2004-01-01 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.06,0.56,1.00,0.00
2004-01-01 07:00:00,76.39,35.13,39.50,1.77,170.44,129.16,41.28,609.23,15.60,0.29,0.00,0.00
2004-01-01 08:00:00,214.16,18.78,193.00,2.38,229.14,27.42,201.72,64.09,17.13,0.91,0.00,1.00
2004-01-01 09:00:00,531.88,461.42,63.87,6.58,634.12,567.36,66.76,907.42,18.38,1.70,0.00,0.00
2004-01-01 10:00:00,738.00,659.55,69.84,8.61,829.88,756.88,73.00,957.24,19.49,2.50,0.00,0.00
2004-01-01 11:00:00,893.66,809.89,73.65,10.13,976.02,899.04,76.98,984.73,20.40,3.25,0.00,0.00
2004-01-01 12:00:00,1062.04,550.44,499.93,11.67,1124.40,601.88,522.52,611.82,21.21,3.12,0.00,1.00
2004-01-01 13:00:00,761.34,339.00,414.01,8.32,802.36,369.64,432.72,370.33,21.94,3.10,0.00,1.00
2004-01-01 14:00:00,813.94,371.87,433.13,8.94,861.66,408.96,452.70,428.13,22.37,2.99,0.00,1.00
2004-01-01 15:00:00,823.21,742.88,70.90,9.44,910.00,835.90,74.10,974.37,23.08,2.75,0.00,0.00
2004-01-01 16:00:00,383.71,97.32,282.13,4.25,409.70,114.82,294.88,161.09,22.66,2.46,0.00,1.00
2004-01-01 17:00:00,416.43,352.70,58.31,5.42,522.84,461.90,60.94,872.13,21.97,2.11,0.00,0.00
2004-01-01 18:00:00,75.26,0.00,74.46,0.81,77.82,0.00,77.82,0.00,21.14,2.34,0.00,1.00
2004-01-01 19:00:00,25.30,0.00,24.63,0.68,65.18,39.44,25.74,388.94,20.23,1.67,0.00,0.00
2004-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.36,1.08,1.00,0.00
2004-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.39,0.72,1.00,0.00
2004-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,0.50,1.00,0.00
2004-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.84,0.44,1.00,0.00
2004-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.61,0.19,1.00,0.00
2004-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.93,0.18,1.00,0.00
2004-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.28,0.13,1.00,0.00
2004-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.51,0.13,1.00,0.00
2004-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.80,0.09,1.00,0.00
2004-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.16,0.03,1.00,0.00
2004-01-02 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.04,0.57,1.00,0.00
2004-01-02 07:00:00,57.27,0.00,56.66,0.61,59.22,0.00,59.22,0.00,13.50,0.16,0.00,1.00
2004-01-02 08:00:00,174.69,10.65,162.12,1.92,185.00,15.56,169.44,36.54,14.94,0.82,0.00,1.00
2004-01-02 09:00:00,534.99,469.48,58.88,6.63,638.68,577.14,61.54,925.49,16.08,1.55,0.00,0.00
2004-01-02 10:00:00,570.18,206.76,357.09,6.33,610.38,237.16,373.22,300.43,17.08,2.27,0.00,1.00
2004-01-02 11:00:00,810.91,372.94,429.02,8.94,862.18,413.78,448.40,453.61,17.88,2.95,0.00,1.00
2004-01-02 12:00:00,731.09,323.90,399.18,8.00,771.18,353.96,417.22,359.94,18.78,3.09,0.00,1.00
2004-01-02 13:00:00,835.23,397.28,428.81,9.14,881.08,432.90,448.18,433.66,19.43,3.05,0.00,1.00
2004-01-02 14:00:00,901.85,441.39,450.54,9.92,955.92,485.02,470.90,507.48,19.78,2.94,0.00,1.00
2004-01-02 15:00:00,437.02,134.50,297.73,4.80,462.36,151.18,311.18,176.06,20.37,2.74,0.00,1.00
2004-01-02 16:00:00,147.68,8.88,137.20,1.60,153.86,10.46,143.40,14.65,19.97,2.47,0.00,1.00
2004-01-02 17:00:00,171.59,12.39,157.33,1.87,180.62,16.18,164.44,30.47,19.29,2.16,0.00,1.00
2004-01-02 18:00:00,83.66,0.00,82.76,0.90,86.50,0.00,86.50,0.00,18.30,2.03,0.00,1.00
2004-01-02 19:00:00,24.85,0.00,24.13,0.72,69.08,43.86,25.22,427.41,17.48,1.33,0.00,0.00
2004-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.71,0.71,1.00,0.00
2004-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.93,0.45,1.00,0.00
2004-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.28,0.50,1.00,0.00
2004-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.78,0.66,1.00,0.00
2004-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.80,0.28,1.00,0.00
2004-01-03 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.23,0.30,1.00,0.00
2004-01-03 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.71,0.28,1.00,0.00
2004-01-03 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.27,0.24,1.00,0.00
2004-01-03 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.89,0.16,1.00,0.00
2004-01-03 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.58,0.05,1.00,0.00
2004-01-03 06:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.43,0.61,1.00,0.00
2004-01-03 07:00:00,77.08,0.00,76.25,0.83,79.70,0.00,79.70,0.00,13.00,0.40,0.00,1.00
2004-01-03 08:00:00,203.29,17.53,183.51,2.26,217.42,25.62,191.80,60.44,14.56,0.99,0.00,1.00
2004-01-03 09:00:00,212.97,26.04,184.60,2.33,224.94,32.00,192.94,51.46,15.77,1.71,0.00,1.00
2004-01-03 10:00:00,205.72,26.54,176.95,2.23,215.36,30.42,184.94,38.60,16.84,2.43,0.00,1.00
